"name","Degree","Weighted.Degree","modularity_class","pageranks","componentnumber","clustering","triangles","eigencentrality","author_id","URL"
"Ron Weiss, PhD",15,2.35587,1344,1e-04,0,0.07619,8,0.230824,2101389519,"https://be.mit.edu/sites/default/files/styles/faculty_profile__274x274_/public/MIT-Weiss_square_72dpi.jpg?itok=w0gtrFdw"
"A. Keefe",1,0.125,1344,1.3e-05,0,0,0,0.012235,2296871069,"http://molbio.mgh.harvard.edu/molbio-static/noimage1.png"
"A. Tim Johnson, MD, PhD",5,0.863743,1344,5.8e-05,0,0.1,1,0.02107,2097487051,"https://wsi.healthcare.uiowa.edu/ImageHandler/ImageHandler.ashx?Image=johnsonat&IHUsername=e9ea4e37695ec4472af8acb586a9dc73&IHPassword=48503dfd58720bd5ff35c102065a52d7"
"Curt Sigmund",14,1.876091,1344,0.000112,0,0.032967,3,0.040027,659757232,"https://sloancenter.uiowa.edu/sites/sloancenter.uiowa.edu/files/styles/profile-image/public/field/profileimage/SigmundC.jpg?itok=GG07A13Y"
"Robert Weiss, MD",4,0.509804,1344,3.2e-05,0,0.166667,1,0.016977,2428891613,"https://wsi.healthcare.uiowa.edu/ImageHandler/ImageHandler.ashx?Image=weissr&IHUsername=e9ea4e37695ec4472af8acb586a9dc73&IHPassword=48503dfd58720bd5ff35c102065a52d7"
"Terry Beltz",1,0.142857,1344,1.6e-05,0,0,0,0.001532,109414542,"https://psychology.uiowa.edu/sites/psychology.uiowa.edu/files/styles/profile/public/field/images/IMG_7982%20copy.jpg?itok=gqlgZNxn"
"A. Tzika, Ph.D.",4,0.670513,1344,3.8e-05,0,0.166667,1,0.028502,2010117417,"http://www.nmr.mgh.harvard.edu/files/styles/medium/public/node/user_profile_photos/tzika.a.jpg?itok=E6wrg1ZS"
"Daniel Vigneron",4,1.0625,1344,6.1e-05,0,0.333333,2,0.01737,730980656,""
"Leo Cheng, PhD",4,0.861111,1344,4.4e-05,0,0,0,0.076565,2148313509,"http://www.nmr.mgh.harvard.edu/files/styles/medium/public/node/user_profile_photos/cheng.jpg?itok=OlDo3ATe"
"Ovidiu Andronesi, PhD, MD",5,1.45762,1344,8.1e-05,0,0.1,1,0.070587,173893231,"http://www.nmr.mgh.harvard.edu/files/styles/medium/public/node/user_profile_photos/ovidiu.jpg?itok=1jZkozun"
"Sharmila Majumdar",11,1.415278,1344,7.7e-05,0,0.036364,2,0.036311,2034316141,"http://bioegrad.berkeley.edu/wp-content/uploads/majumdar_crop.jpg"
"Zurakowski, David",22,2.939261,1344,0.000128,0,0.021645,5,0.149923,2146690177,"https://catalyst.harvard.edu/wp-content/themes/_curryint/assets/img/tool-page-logo.png"
"Aaditya Ramdas",12,1.498446,1344,6.2e-05,0,0.121212,8,0.146315,2022285571,"http://www.stat.cmu.edu/~aramdas/ramdas-bigsur-small.jpg"
"Alessandro Rinaldo",7,1.848584,1344,8e-05,0,0.095238,2,0.065049,2122471237,"http://www.stat.cmu.edu/~arinaldo/wp-content/uploads/wp/ale2017-199x300.jpg"
"Benjamin Recht",28,4.839971,1344,0.000197,0,0.042328,16,0.476539,2018227268,"https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/brecht.jpg"
"Jasjeet S. Sekhon",14,4.27456,1344,0.00015,0,0.076923,7,0.120013,2180107704,"http://sekhon.berkeley.edu/photos/JasjeetSekhon3.jpg"
"Javier Pena",5,1.33961,1344,6.1e-05,0,0.4,4,0.091859,2137992901,"https://www.cmu.edu/tepper/facultyphotos/large/jfp.jpg"
"Jon McAuliffe",5,2.574074,1344,9.7e-05,0,0.1,1,0.029202,2073808159,"https://www.stat.berkeley.edu/~jon/images/spacer.gif"
"Larry Wasserman",21,4.937482,1344,0.000194,0,0.038095,8,0.276286,2101922781,"http://www.stat.cmu.edu/~larry/Larry.jpg"
"Leila Wehbe",5,1.777778,1344,7.4e-05,0,0.1,1,0.028826,2061328669,""
"Rebecca C. Steorts",4,1.148148,1344,4.8e-05,0,0,0,0.022587,1767982378,"http://humanrights.fhi.duke.edu/wp-content/uploads/2017/08/steorts_rebecca.jpg"
"Rina Foygel Barber",5,0.782609,1344,3.9e-05,0,0.2,2,0.039393,2134311351,"http://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Foygel%2C%20Rina.jpg?itok=q38LSHm6"
"Ryan Tibshirani",8,1.389872,1344,6.3e-05,0,0.142857,4,0.128992,2088212047,"http://www.stat.cmu.edu/~ryantibs/ryan.jpg"
"Aaditya Rangan",0,0,1,8e-06,2,0,0,0,674529359,"https://nyuscholars.nyu.edu/assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png"
"David Cai",3,0.259259,1344,2.1e-05,0,0,0,0.01053,2135475649,""
"David McLaughlin",5,1.391679,1344,6.2e-05,0,0,0,0.0133,1994341234,"https://research.shanghai.nyu.edu/sites/default/files/styles/people_thumb_2/public/people/image/DaveMcLaughlin-280.png?itok=XPcj2ZNM"
"Aalok Kacha, M.D.",3,0.571429,1344,5e-05,0,0.333333,1,0.002519,2307484210,"https://anesthesia.uchicago.edu/sites/anesthesia.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/people/kacha.png?itok=mN-YmyST"
"Junaid Nizamuddin",1,0.142857,1344,1.9e-05,0,0,0,0.00049,2184342221,"http://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Nizamuddin%201.jpeg?itok=d3lEGsFY"
"Sarah Latif Nizamuddin",3,0.809524,1344,5.5e-05,0,0.333333,1,0.010325,2605569512,"http://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Nizamuddin%2C%20Sarah%20Latif.png?itok=LNPsgq_a"
"Shahul, Sajid",4,1.098214,1344,7.6e-05,0,0.166667,1,0.007601,2013286077,""
"Thomas Gajewski, M.D., Ph.D.",9,2.52665,1344,0.000119,0,0,0,0.032407,414563763,"http://benmay.uchicago.edu/sites/ben-may.uchicago.edu/files/styles/columnwidth/public/uploads/images/gajewski_1.jpg?itok=l6GG73Ow"
"Aaron  Rabinowitz",1,1,1344,4.6e-05,0,0,0,0.001938,2699588255,"https://static.hwpi.harvard.edu/files/styles/os_files_medium/public/healthpolicy/files/harvard-gsas.png?m=1513100186&itok=pKjzOFav"
"Miriam Laugesen",3,2.025641,1344,9e-05,0,0,0,0.017068,2251366524,"https://www.mailman.columbia.edu/sites/default/files/styles/medium_262x317/public/jpg/ml3111_laugesen-ml3111-1_1.jpg?itok=ydwzY6lZ"
"Aaron Adler",1,0.333333,1344,2.4e-05,0,0,0,0.005447,2149478613,"http://people.csail.mit.edu/cadlerun/aaron.jpg"
"Krzysztof Gajos",8,1.294283,1344,7.2e-05,0,0,0,0.052069,728065937,"https://www.seas.harvard.edu/sites/default/files/styles/directory_large/public/images/Directory/Gajos_200x300_0.jpg?itok=5Wkl9rhK"
"Aaron Batista",2,0.266667,1344,2.6e-05,0,0,0,0.003,2917556257,"http://www.cnbc.cmu.edu/cnbc-directory/name/batista-aaron-batista-aaron/"
"Byron Yu",6,2.080896,1344,8.3e-05,0,0.133333,2,0.033495,2168781084,"https://www.cmu.edu/bme/People/resources/faculty/Byron Yu_65_1024.jpg"
"Steven Chase",5,2.343478,1344,9.6e-05,0,0.1,1,0.003561,2112120944,"http://www.cnbc.cmu.edu/cnbc-directory/name/chase-steven-chase-steven/"
"Aaron Berdanier",2,1,1344,5.4e-05,0,0,0,0.00743,2080858404,"https://biology.duke.edu/sites/biology.duke.edu/files/styles/medium/public/externals/00fb0ada9307ac3cac24ee2143ac3237.gif?itok=oJQBYYfz"
"James S. Clark",15,2.548086,1344,0.000142,0,0.019048,2,0.056544,2153434035,"https://biology.duke.edu/sites/biology.duke.edu/files/styles/medium/public/externals/d38a7c202490515d4e12f8dea86de47b.jpg?itok=xZ20OL2x"
"Julia Klein",3,1.271429,1344,5.9e-05,0,0,0,0.004719,2313103600,""
"Aaron Berkowitz",6,1.21978,1344,6e-05,0,0.2,3,0.047207,2008390587,"https://ghsm.hms.harvard.edu/sites/g/files/mcu391/f/styles/person_large/public/person-photos/BerkowitzAaron.jpg?itok=HumCJmtg"
"Mateen, Farrah",4,1.374359,1344,6.9e-05,0,0.166667,1,0.043472,2250899889,"https://connects.catalyst.harvard.edu/Profiles/profile/Modules/CustomViewPersonGeneralInfo/PhotoHandler.ashx?NodeID=27290341&cachekey=812c8ac0-6698-4539-9cee-1f65af839d8c"
"ROBERT J. BAUMANN, MD",8,2.112485,1344,0.000104,0,0.107143,3,0.04704,2162248074,"https://ukhealthcare.uky.edu/sites/default/files/physician-photos/baumann-robert.gif"
"Sydney Cash",15,1.961362,1344,9.2e-05,0,0.028571,3,0.201003,2010431758,"http://commstaging.hms.harvard.edu/dms/neuroscience/fac/images/large/Cash_Sydney.jpg"
"Todd Braver, Ph.D.",10,1.255675,1344,6.4e-05,0,0.066667,3,0.155508,2058296205,""
"Aaron Berman",2,1.055556,1344,4.6e-05,0,0,0,0.009653,2168609318,"https://epod.cid.harvard.edu/sites/default/files/styles/person_thumbnail/public/2018-03/aaron_berman_new.jpg?itok=-ju2oBoN"
"Johnson, Robert",3,2,1344,8.4e-05,0,0,0,0.006906,2096583878,"http://commstaging.hms.harvard.edu/dms/immunology/fac/images/large/Johnson_Robert.jpg"
"Aaron Bernstein",0,0,2,8e-06,3,0,0,0,2161499147,"http://environment.harvard.edu/sites/default/files/styles/150_x_150/public/images/Berstein2.jpg?itok=mwcecSdo"
"Samuel Myers",7,1.342904,1344,6.3e-05,0,0,0,0.040884,2199069154,"http://environment.harvard.edu/sites/default/files/styles/150_x_150/public/images/myers.jpg?itok=oP7p4i8v"
"Aaron Blevins",4,0.771429,1344,5.5e-05,0,0.166667,1,0.003273,2773598670,"https://ae.engr.ku.edu/sites/ae.engr.ku.edu/files/images/general/fb-art.jpg"
"Hale, Richard",5,0.833968,1344,7.2e-05,0,0,0,0.004224,2158126406,"http://ae.engr.ku.edu/sites/ae.engr.ku.edu/files/images/general/fb-art.jpg"
"Huang, Weizhang",5,1.4,1344,7.1e-05,0,0,0,0.003076,2115255719,"https://whuang.ku.edu/images/hr-book-image.jpeg"
"Mark Ewing",3,0.654286,1344,4.9e-05,0,0.666667,2,0.003472,2305599724,"https://ae.engr.ku.edu/sites/ae.engr.ku.edu/files/images/general/fb-art.jpg"
"Shawn Keshmiri",6,1.966923,1344,9.2e-05,0,0,0,0.004297,2145185223,"https://ae.engr.ku.edu/sites/ae.engr.ku.edu/files/images/general/fb-art.jpg"
"Aaron Brown",2,0.099462,1344,1.4e-05,0,0,0,0.0529,2146928518,"http://resromanae.berkeley.edu/sites/default/files/styles/large/public/Aaron%20Pompeii.png?itok=Wzp9o4VK"
"David A. Patterson",30,4.488588,1344,0.000186,0,0.064368,28,0.702762,2098984663,"https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/patterson.jpg"
"Jon Kuroda",2,1.083333,1344,7.6e-05,0,0,0,0.004855,2653222950,""
"Aaron C. Sather",1,1,3,5.6e-05,4,0,0,0.00014,2056130275,"https://chemistry-buchwald.mit.edu/sites/default/files/aaron.jpg"
"Valentina De La Rosa",1,1,3,5.6e-05,4,0,0,0.00014,2573164436,"https://chemistry-buchwald.mit.edu/sites/default/files/valetina-web.jpg"
"Aaron Chamberlain",3,0.179911,1344,2.1e-05,0,0.333333,1,0.022818,2179486351,"https://profiles.wustl.edu/files-asset/24531405/chamberlain_aaron_340880.jpg"
"Jay Keener",2,0.088235,1344,1.5e-05,0,0,0,0.014362,2171164890,"https://profiles.wustl.edu/files-asset/24530043/keener_jay_317534.jpg"
"Ken Yamaguchi",1,0.083333,1344,1.6e-05,0,0,0,0.005844,2111657722,"https://profiles.wustl.edu/files-asset/24528364/yamaguchi_ken_103257.jpg"
"Middleton, W.",7,0.678579,1344,5.6e-05,0,0.142857,3,0.086072,2615122636,"https://profiles.wustl.edu/files-asset/24524368/middleton_william_026817.jpg"
"Aaron Chatterji",6,1,1344,4.5e-05,0,0,0,0.038811,2065647667,"https://wfpc.sanford.duke.edu/sites/wfpc.sanford.duke.edu/files/chatterji.jpg"
"David I. Levine",8,3.114426,1344,0.000127,0,0.035714,1,0.021044,2163832525,"https://haas.berkeley.edu/wp-content/uploads/2018/11/avq_411f-1.jpg"
"Glaeser, Edward L.",20,3.204753,1344,0.000141,0,0.063158,12,0.09573,622018538,"https://research.hks.harvard.edu/publications/images/hks.jpg"
"Kathleen Eisenhardt",5,1.557143,1344,7.3e-05,0,0.1,1,0.008769,143644757,"https://engineering.stanford.edu/sites/default/files/styles/large-square/public/df22a2b6cd84575b68db4bf4e29ac6d6.jpg?itok=B4TSshXU"
"Kevin  Schulman",18,3.13631,1344,0.000129,0,0.013072,2,0.185698,1994521883,"https://www.gsb.stanford.edu/sites/gsb/files/styles/270x270/public/schulman.png?itok=oW_S6v4i"
"Rui De Figueiredo",7,1.394156,1344,5.6e-05,0,0.190476,4,0.027319,2131071493,"http://polisci.berkeley.edu/sites/default/files/styles/230w/public/76.jpg?itok=RJKGsPoc"
"Sharique Hasan",3,1.071429,1344,6.1e-05,0,0,0,0.012081,2189664614,"https://southasia.stanford.edu/sites/g/files/sbiybj12061/f/styles/large-square/public/sharique_h.jpg?itok=i3V5vIJu"
"Aaron Collins",3,1,1344,4.3e-05,0,0,0,0.006257,2001433788,"http://parc.wustl.edu/files/parc/people/images/aaron_collins-12.15.16.jpg"
"Dewey Holten",3,0.312121,1344,2.1e-05,0,0,0,0.018732,1931976599,"http://parc.wustl.edu/files/parc/people/images/dewey_holten_11-12-10.jpg"
"Himadri B. Pakrasi, Ph.D.",7,3.869444,1344,0.000147,0,0.095238,2,0.018075,58005962,""
"Robert E. Blankenship",8,4.635714,1344,0.000175,0,0,0,0.013309,2171385675,""
"Aaron Cramer",1,1,4,5.6e-05,5,0,0,0.00014,2251302274,"http://www.engr.uky.edu/sites/default/files/styles/directory_headshot/public/ECE%20Faculty%20and%20Staff/Headshots/Cramer-Aaronweb-200x300-e1491414093312.jpg?itok=A18Cxrmb"
"Paul Dolloff",1,1,4,5.6e-05,5,0,0,0.00014,2222355889,"http://www.engr.uky.edu/sites/default/files/styles/directory_headshot/public/Paul-Dolloff-fall-2015.jpg?itok=yXRuU4Xn"
"Aaron D. Franklin",3,1.143369,1344,5.6e-05,0,0,0,0.018768,2058862476,"https://ece.duke.edu/sites/ece.duke.edu/files/scholars_images/thumb_image_4426042.jpg"
"Jie  Liu",15,3.126372,1344,0.000154,0,0.038095,4,0.074908,2105103465,"https://fitzpatrick.duke.edu/sites/fitzpatrick.duke.edu/files/scholars_images/thumb_image_6278462.jpg"
"Aaron Dinner",14,1.927871,1344,8.7e-05,0,0.021978,2,0.109756,273710096,"https://chemistry.uchicago.edu/sites/default/files/Aaron%20Dinner.jpg"
"Andrei Tokmakoff",5,1.29697,1344,5.7e-05,0,0,0,0.02795,438885795,"http://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Tokmakoff.jpg?itok=JN5dF2Gq"
"Arup K. Chakraborty",8,1.344322,1344,6e-05,0,0.035714,1,0.074193,1987362378,"https://imes.mit.edu/wp-content/uploads/2015/05/CHAKRABORTY-LARGE.jpg"
"Darrell J. Irvine",13,2.345703,1344,9.6e-05,0,0.051282,4,0.15137,2150853304,"https://ki.mit.edu/files/ki/ff/105/portrait/irvine-headshot-2018-cropped.jpg"
"Erel Levine",2,1.071429,1344,4.5e-05,0,0,0,0.015189,2263784060,"http://sysbiophd.harvard.edu/files/styles/person/public/images/people/LevineErel.jpg?itok=XHfVjA_9"
"Gerhard Wagner",24,6.797198,1344,0.000246,0,0.036232,10,0.209448,2252255791,"https://bcmp.hms.harvard.edu/sites/g/files/mcu496/f/styles/person_large/public/person-photos/Portrait-Wagner.jpg?itok=ImMUh16i"
"Jack Gilbert",11,2.074762,1344,0.000101,0,0.018182,1,0.054686,2101289441,"http://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Gilbert%2C%20Jack.jpg?itok=GlnV515E"
"Jonathan Mattingly",12,2.924513,1344,0.00011,0,0.045455,3,0.082092,2010825668,"https://bigdata.duke.edu/sites/bigdata.duke.edu/files/styles/masonry_item_225px/public/mattingly_0.jpg?itok=wmmP9Ii2"
"Jonathan Weare",7,0.728384,1344,4.2e-05,0,0,0,0.025782,2004101607,"http://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Weare.jpg?itok=WwbkfI28"
"Norbert Scherer",5,0.818897,1344,4.2e-05,0,0,0,0.024884,2154270114,"https://chemistry.uchicago.edu/sites/default/files/20160208_Chem-Scherer_7753-t.png"
"Aaron Ellison",14,2.452743,1344,0.000114,0,0.043956,4,0.056755,2097336915,"https://static.hwpi.harvard.edu/files/styles/profile_full/public/pbi/files/aaron_ellison.jpg?m=1515795441&itok=GuP7Ii6g"
"Anderson, David",3,1.092929,1344,5.4e-05,0,0,0,0.009626,2129530653,""
"Anne Pringle",10,3.588889,1344,0.000155,0,0.066667,3,0.026626,1982562833,"https://taylorlab.berkeley.edu/sites/default/files/styles/researcher_profile_photo/public/taylorlab/profile_images/Anne%20Pringle.jpg?itok=ECIpz9AJ"
"Audrey Barker Plotkin",1,0.111111,1344,1.8e-05,0,0,0,0.003313,2203082784,"https://static.hwpi.harvard.edu/files/styles/profile_full/public/pbi/files/audrey-barker-plotkin.jpg?m=1516089237&itok=vqC_q16e"
"Ballif, Bryan, PhD",6,1.222222,1344,5.5e-05,0,0.133333,2,0.063851,2035565773,"https://www.uvm.edu/~bballif/bballif/ballif%20pic.jpg"
"Charles Davis",7,4.666667,1344,0.000187,0,0,0,0.00609,2426096418,"http://environment.harvard.edu/sites/default/files/huce3_logo_2.png"
"David Foster",9,1.584145,1344,0.000103,0,0.138889,5,0.029085,2107625758,"http://environment.harvard.edu/sites/default/files/styles/150_x_150/public/images/drf-headshot-2016.jpeg?itok=UBIoyM5R"
"Elizabeth Colburn",2,0.222222,1344,2e-05,0,1,1,0.010655,2033700195,"https://pbi.oeb.harvard.edu/profiles/openscholar/themes/hwpi_basetheme/images/harvard-logo.png"
"John W. Terborgh",8,0.955556,1344,4.5e-05,0,0,0,0.029136,669678380,"https://scholars.duke.edu/individual/t3498152"
"Roberto Kolter",17,5.365359,1344,0.000182,0,0.022059,3,0.126664,2030660061,"http://environment.harvard.edu/sites/default/files/styles/150_x_150/public/images/kolter.jpg?itok=2nEessuS"
"Aaron Elmore",5,1.166667,1344,6.5e-05,0,0.1,1,0.078923,2094668902,"http://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Elmore%20dc.jpg?itok=rxIIUaHH"
"Andrew A. Chien",10,1.553922,1344,9.2e-05,0,0.066667,3,0.035657,2614356407,"https://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Chien%2C%20Andrew.jpg?itok=F7BnTje6"
"David Karger",26,2.205366,1344,9.6e-05,0,0.04,13,0.678434,2305153757,"https://www.csail.mit.edu/sites/default/files/styles/headshot/public/images/migration/karger.jpg?h=5636fc5d&itok=S8_4hNvX"
"Samuel Madden",21,5.223512,1344,0.000197,0,0.042857,9,0.393309,2139913828,"https://www.csail.mit.edu/sites/default/files/styles/headshot/public/images/migration/madden.jpg?h=5636fc5d&itok=-hdpjdjU"
"Sanjay Krishnan",2,0.666667,1344,3.2e-05,0,1,1,0.088824,2910888202,"http://newfaculty.uchicago.edu/sites/newfaculty.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/Krishnan-alpha_0.jpg?itok=or9zdmmL"
"Tim Kraska",9,1.353968,1344,5.8e-05,0,0.055556,2,0.132453,2078839115,"https://www.csail.mit.edu/sites/default/files/styles/headshot/public/images/people/profile/Tim%20Kraska.jpg?h=c9f38fa0&itok=E1zKo3OC"
"Aaron Fields",2,1,1344,4.9e-05,0,0,0,0.017866,2163194299,""
"Jeffrey Lotz",3,0.881579,1344,4.5e-05,0,0,0,0.013236,2149808609,""
"Tony M. Keaveny",8,1.53618,1344,6.8e-05,0,0.214286,6,0.181284,2094038412,"https://me.berkeley.edu/wp-content/uploads/2019/01/Keaveny-Tony.jpg"
"Aaron Fogelson",5,2.375,1344,0.000119,0,0,0,0.004135,2205488166,"http://www.math.utah.edu/~fogelson/HLINE.gif"
"Charles S. Peskin",5,0.903846,1344,5.3e-05,0,0,0,0.022885,2122148682,""
"Chris Johnson",18,3.723781,1344,0.000156,0,0.013072,2,0.060285,2193108720,""
"Daniel Tranchina",5,0.880556,1344,5.4e-05,0,0,0,0.011142,2018979837,"http://as.nyu.edu/content/dam/nyu-as/faculty/images/tranchina-daniel-photo.jpg"
"Robert Dillon",0,0,5,8e-06,6,0,0,0,2123346648,"http://www.math.wsu.edu/faculty/dillon/showcase.jpg"
"Thanh N. Truong",5,0.612923,1344,3.3e-05,0,0,0,0.014149,2123768888,"https://chem.utah.edu/_images/faculty_photos_2018/Truong.jpg"
"Vladimir Hlady",1,0.125,1344,1.4e-05,0,0,0,0.000776,1322592626,"http://afm1.pharm.utah.edu/images/_2igapane1_1_2.jpg"
"Aaron Gitler",2,1,1344,4.6e-05,0,0,0,0.004026,210047556,"https://fsi-live.s3.us-west-1.amazonaws.com/s3fs-public/styles/headshot_195x260/public/gitler_headshot.jpg?itok=TZPjlVMB"
"Daniel Jarosz",4,0.875,1344,4.2e-05,0,0,0,0.017347,1967402860,"https://neuroscience.stanford.edu/sites/g/files/sbiybj1576/f/styles/large-square/public/2ead015fef45e44cc50c0f06daec5252.jpg?itok=Mc7tVXSV"
"Ruth  Lehmann, PhD",2,1.5,1344,6.1e-05,0,0,0,0.019507,2139171968,"https://med.nyu.edu/dti-physician-photo/faculty/l/lehmar01/lehmar01-hero.jpg"
"Aaron Harlap",7,1.083333,1344,4.8e-05,0,0.285714,6,0.064272,2538183065,"http://www.pdl.cmu.edu/images/People/AaronHarlap.jpg"
"Alexey Tumanov",9,1.627525,1344,7.3e-05,0,0.277778,10,0.141251,2167258035,"https://people.eecs.berkeley.edu/~atumanov/img/Tumanov-RISERetreat2017.jpg"
"Andrew Chung",2,0.931818,1344,4e-05,0,1,1,0.02985,2605989135,"http://www.pdl.cmu.edu/images/People/afchung.jpeg"
"Deepak Narayanan",5,1.107303,1344,4.8e-05,0,0.2,2,0.119566,2594941769,"http://cs.stanford.edu/~deepakn/assets/headshots/deepak.JPG"
"Gregory Ganger",21,4.728728,1344,0.000182,0,0.07619,16,0.254344,2791808,""
"Jinliang Wei",7,1.356061,1344,7.4e-05,0,0.238095,5,0.052965,2113580177,"http://www.pdl.cmu.edu/images/People/jin-wei.jpg"
"Nandita Vijaykumar",6,0.706294,1344,3.5e-05,0,0.2,3,0.044145,2224143854,"http://www.pdl.cmu.edu/images/People/nandita.jpg"
"Aaron Huebner",8,2.1,1344,7.9e-05,0,0.357143,10,0.025999,2032750462,"http://molbio.mgh.harvard.edu/molbio-static/photos/2103.jpg"
"Andrej Savol",8,2.016667,1344,7.3e-05,0,0.25,7,0.031859,2049930147,"http://molbio.mgh.harvard.edu/molbio-static/photos/2197.jpg"
"Anthony Anselmo",9,3.059524,1344,0.000103,0,0.222222,8,0.044391,2480379134,"http://molbio.mgh.harvard.edu/molbio-static/photos/1949.jpg"
"Konrad Hochedlinger, Ph.D.",11,3.17619,1344,0.000121,0,0.127273,7,0.066245,247140687,"http://molbio.mgh.harvard.edu/molbio-static/labimg/hochedlinger-pi.jpg"
"Ryan Walsh",5,1.383333,1344,5.3e-05,0,0.6,6,0.021944,1966810902,"http://molbio.mgh.harvard.edu/molbio-static/photos/1726.jpg"
"Aaron J. Blashill, Ph.D.",4,0.361111,1344,2.4e-05,0,0,0,0.041748,1880012580,"http://www.psychology.sdsu.edu/wp-content/uploads/2015/08/Blashillsmall_original.jpg"
